gene_symbol	accession_numbers	ensembl_id
HMGB3P17		ENSG00000249400
HMGB3P18		ENSG00000220184
HMGB3P19		ENSG00000217085
HMGB3P20		ENSG00000226059
HMGB3P21		ENSG00000224551
HMGB3P22		ENSG00000225051
HMGB3P23		ENSG00000235148
HMGB3P24		ENSG00000215283
HMGB3P25		
HMGB3P26		ENSG00000259428
HMGB3P27		ENSG00000267132
HMGB3P28		
HMGB3P29		
HMGB3P30		ENSG00000213652
HMGB3P31		ENSG00000231929
HMGB3P32		ENSG00000260828
HMGB4		ENSG00000176256
HMGCL	BC010570	ENSG00000117305
HMGCLL1	AK055075	ENSG00000146151
HMGCR		ENSG00000113161
HMGCS1		ENSG00000112972
HMGCS2	BC044217	ENSG00000134240
HMGN1		ENSG00000205581
HMGN1P1		
HMGN1P2		ENSG00000229046
HMGN1P3		ENSG00000258967
HMGN1P4		ENSG00000224040
HMGN1P5		ENSG00000230942
HMGN1P6		ENSG00000224070
HMGN1P7		ENSG00000239614
HMGN1P8		ENSG00000241120
HMGN1P9		ENSG00000248377
HMGN1P10		ENSG00000244101
HMGN1P11		ENSG00000248336
HMGN1P12		ENSG00000247911
HMGN1P13		ENSG00000249619
HMGN1P14		ENSG00000249439
HMGN1P15		ENSG00000250197
HMGN1P16		ENSG00000249503
HMGN1P17		ENSG00000250787
HMGN1P18		ENSG00000234927
HMGN1P19		ENSG00000224519
HMGN1P20		ENSG00000239539
HMGN1P21		
HMGN1P22		
HMGN1P23		
HMGN1P24		ENSG00000226977
HMGN1P25		
HMGN1P26		ENSG00000259557
HMGN1P27		
HMGN1P28		ENSG00000254114
HMGN1P29		
HMGN1P30		ENSG00000235028
HMGN1P31		ENSG00000267513
HMGN1P32		ENSG00000237589
HMGN1P33		ENSG00000230326
HMGN1P34		ENSG00000224755
HMGN1P35		ENSG00000172186
HMGN1P36		ENSG00000235734
HMGN1P37		ENSG00000229237
HMGN1P38		ENSG00000253954
HMGN2	BC081567	ENSG00000198830
HMGN2P1		
HMGN2P2		
HMGN2P3		ENSG00000230330
HMGN2P4		ENSG00000249014
HMGN2P5		ENSG00000234664
HMGN2P6		ENSG00000257179
HMGN2P7		ENSG00000226427
HMGN2P8		ENSG00000212769
HMGN2P9		ENSG00000180150
HMGN2P10	Z83840	ENSG00000231261
HMGN2P11	X06353	ENSG00000232605
HMGN2P12	X06444	
HMGN2P13		ENSG00000241810
HMGN2P14		
HMGN2P15		ENSG00000214578
HMGN2P16		ENSG00000231376
HMGN2P17		ENSG00000238249
HMGN2P18		ENSG00000223452
HMGN2P19		ENSG00000229367
HMGN2P20		ENSG00000232963
HMGN2P21		ENSG00000228034
HMGN2P22		ENSG00000227259
HMGN2P23		ENSG00000236124
HMGN2P24		ENSG00000229072
HMGN2P25		ENSG00000228398
HMGN2P26		ENSG00000241203
HMGN2P27		ENSG00000232916
HMGN2P28		ENSG00000236086
HMGN2P29		
HMGN2P30		ENSG00000213721
HMGN2P31		ENSG00000214195
HMGN2P32		ENSG00000213558
HMGN2P33		
HMGN2P34		ENSG00000231471
HMGN2P35		ENSG00000232875
HMGN2P36		ENSG00000228901
HMGN2P37		
HMGN2P38		ENSG00000231726
HMGN2P39		ENSG00000214281
HMGN2P40		ENSG00000260602
HMGN2P41		ENSG00000261620
HMGN2P42		
HMGN2P43		
HMGN2P44		
HMGN2P45		
HMGN2P46	AK096745	ENSG00000179362
HMGN2P47		ENSG00000259246
HMGN3	L40357	ENSG00000118418
HMGN3-AS1		ENSG00000270362
HMGN3P1		ENSG00000183586
HMGN4	U90549	ENSG00000182952
HMGN5	AF250329	ENSG00000198157
HMGXB3	D83778	ENSG00000113716
HMGXB4	AJ010069	ENSG00000100281
HMHB1	AF103884	ENSG00000158497
HMMR	U29343	ENSG00000072571
HMMR-AS1	BU852496	ENSG00000251018
HMOX1		ENSG00000100292
HMOX2		ENSG00000103415
HMSD	AC009802	ENSG00000221887
HMX1	M99587	ENSG00000215612
HMX2		ENSG00000188816
HMX3		ENSG00000188620
HNB1		
HNF1A	M57732	ENSG00000135100
HNF1A-AS1	AK096009	ENSG00000241388
HNF1B	BC017714	ENSG00000275410
HNF4A	X76930	ENSG00000101076
HNF4A-AS1	AF143870	ENSG00000229005
HNF4G		ENSG00000164749
HNF4GP1		ENSG00000228611
HNMT		ENSG00000150540
HNRNPA0	U23803	ENSG00000177733
HNRNPA1	BC009600	ENSG00000135486
HNRNPA1L2		ENSG00000139675
HNRNPA1P1		ENSG00000218347
HNRNPA1P2		ENSG00000237285
HNRNPA1P3	AL050348	ENSG00000226188
HNRNPA1P4		ENSG00000206228
HNRNPA1P5		ENSG00000259512
HNRNPA1P6		ENSG00000229887
HNRNPA1P7		ENSG00000215492
HNRNPA1P8		ENSG00000229251
HNRNPA1P9		ENSG00000231956
HNRNPA1P10		ENSG00000214223
HNRNPA1P11		ENSG00000264315
HNRNPA1P12		ENSG00000220157
HNRNPA1P13		ENSG00000213568
HNRNPA1P14		ENSG00000227638
HNRNPA1P15		ENSG00000214761
HNRNPA1P16		ENSG00000262333
HNRNPA1P17		ENSG00000243188
HNRNPA1P18		ENSG00000229910
HNRNPA1P19		ENSG00000218454
HNRNPA1P20		ENSG00000205412
HNRNPA1P21		ENSG00000228168
HNRNPA1P22		ENSG00000236459
HNRNPA1P23		ENSG00000240236
HNRNPA1P24		ENSG00000241947
HNRNPA1P25		ENSG00000231206
HNRNPA1P26		ENSG00000239345
HNRNPA1P27		ENSG00000233680
HNRNPA1P28		ENSG00000230170
HNRNPA1P29		ENSG00000235784
HNRNPA1P30		ENSG00000233780
HNRNPA1P31		ENSG00000227862
HNRNPA1P32		ENSG00000213778
HNRNPA1P33		ENSG00000213412
HNRNPA1P34		ENSG00000213049
HNRNPA1P35		ENSG00000225695
HNRNPA1P36		ENSG00000231942
HNRNPA1P37		ENSG00000218574
HNRNPA1P38		ENSG00000253605
HNRNPA1P39		ENSG00000237804
HNRNPA1P40		ENSG00000212961
HNRNPA1P41		ENSG00000220937
HNRNPA1P42		ENSG00000233615
HNRNPA1P43		ENSG00000214204
HNRNPA1P44		ENSG00000249271
HNRNPA1P45		ENSG00000259411
HNRNPA1P46		ENSG00000228020
HNRNPA1P47		ENSG00000236695
HNRNPA1P48		ENSG00000224578
HNRNPA1P49		ENSG00000233231
HNRNPA1P50		ENSG00000257195
HNRNPA1P51		ENSG00000234491
HNRNPA1P52		ENSG00000269119
HNRNPA1P53		ENSG00000229534
HNRNPA1P54		ENSG00000236539
HNRNPA1P55		ENSG00000249920
HNRNPA1P56		ENSG00000248640
HNRNPA1P57		ENSG00000237442
HNRNPA1P58		ENSG00000219582
HNRNPA1P59		ENSG00000230280
HNRNPA1P60		ENSG00000233497
HNRNPA1P61		ENSG00000187999
HNRNPA1P62		ENSG00000259228
HNRNPA1P63		ENSG00000227453
HNRNPA1P64		ENSG00000213559
HNRNPA1P65		ENSG00000248444
HNRNPA1P66		ENSG00000229221
HNRNPA1P67		ENSG00000270665
HNRNPA1P68		ENSG00000230946
HNRNPA1P69		ENSG00000257332
HNRNPA1P70		ENSG00000236946
HNRNPA1P71		ENSG00000259686
HNRNPA1P72		ENSG00000254713
HNRNPA1P73		ENSG00000236569
HNRNPA1P74		ENSG00000259550
HNRNPA1P75		
HNRNPA1P76		ENSG00000255141
HNRNPA1P77		
HNRNPA2B1	D28877	ENSG00000122566
HNRNPA3	AF517524	ENSG00000170144
HNRNPA3P1	S63912	ENSG00000226790
HNRNPA3P2	AL031662	ENSG00000227688
HNRNPA3P3		ENSG00000214653
HNRNPA3P4		ENSG00000226068
HNRNPA3P5		ENSG00000236565
HNRNPA3P6		ENSG00000213300
HNRNPA3P7		ENSG00000253119
HNRNPA3P8		ENSG00000239699
HNRNPA3P9		ENSG00000270903
HNRNPA3P10		ENSG00000257851
HNRNPA3P11		ENSG00000260689
HNRNPA3P12		ENSG00000219102
HNRNPA3P13		ENSG00000250826
HNRNPA3P14		ENSG00000224494
HNRNPA3P15		ENSG00000225636
HNRNPA3P16		ENSG00000267233
HNRNPAB	AK097657, BC036708	ENSG00000197451
HNRNPABP1		ENSG00000255734
HNRNPC		ENSG00000092199
HNRNPCL1	BC002696	ENSG00000179172
HNRNPCL2		ENSG00000275774
HNRNPCL3		ENSG00000277058
HNRNPCL4		ENSG00000179412
HNRNPCP1		ENSG00000258900
HNRNPCP2		ENSG00000204253
HNRNPCP3		ENSG00000259419
HNRNPCP4		ENSG00000263179
HNRNPCP6		ENSG00000213305
HNRNPCP7		ENSG00000228653
HNRNPCP8		ENSG00000254748
HNRNPCP9		ENSG00000232048
HNRNPCP10		ENSG00000215054
HNRNPD	AF026126	ENSG00000138668
HNRNPDL	D89092	ENSG00000152795
HNRNPDLP1		ENSG00000226307
HNRNPDLP2		ENSG00000234890
HNRNPDLP3		ENSG00000236185
HNRNPDLP4		ENSG00000270837
HNRNPDLP5		
HNRNPDP1		ENSG00000232794
HNRNPDP2		ENSG00000217811
HNRNPF		ENSG00000169813
HNRNPFP1		ENSG00000227538
HNRNPH1	BC001348	ENSG00000169045
HNRNPH1P1		ENSG00000220305
HNRNPH1P2		ENSG00000213924
HNRNPH1P3		ENSG00000248854
HNRNPH2	U01923	ENSG00000126945
HNRNPH3		ENSG00000096746
HNRNPH3P1		ENSG00000230247
HNRNPK		ENSG00000165119
HNRNPKP1		ENSG00000250859
HNRNPKP2		ENSG00000227347
HNRNPKP3		
HNRNPKP4		ENSG00000243547
HNRNPKP5		ENSG00000250662
HNRNPL	X16135	ENSG00000104824
HNRNPLL	BC008217	ENSG00000143889
HNRNPLP1		ENSG00000233503
HNRNPLP2		ENSG00000259917
HNRNPM	L03532	ENSG00000099783
HNRNPMP1		ENSG00000259335
HNRNPMP2		ENSG00000269576
HNRNPR	AF000364	ENSG00000125944
HNRNPRP1		ENSG00000223984
HNRNPRP2		ENSG00000255047
HNRNPRP3		
HNRNPU	X65488	ENSG00000153187
HNRNPUL1	AJ007509	ENSG00000105323
HNRNPUL2		ENSG00000214753
HNRNPUL2-BSCL2		ENSG00000234857
HNRNPUP1		ENSG00000259051
HOAC		
HOGA1	BC011916	ENSG00000241935
HOMER1	BC015502	ENSG00000152413
HOMER2	AF093264	ENSG00000103942
HOMER2P1		ENSG00000228966
HOMER2P2		ENSG00000238275
HOMER3	Y18894	ENSG00000051128
HOMER3-AS1		ENSG00000269019
HOMEZ	AB037864	
HOOK1	AF044923	ENSG00000134709
HOOK2	AF044924	ENSG00000095066
HOOK3	AK090540	ENSG00000168172
HOPX		ENSG00000171476
HORMAD1	AL136755	ENSG00000143452
HORMAD2	AK098703	ENSG00000176635
HORMAD2-AS1		ENSG00000227117
HOTAIR	DQ926657	ENSG00000228630
HOTAIRM1		ENSG00000233429
HOTTIP	GU724873	ENSG00000243766
HOXA-AS2	BC035889	ENSG00000253552
HOXA-AS3	AK091933	ENSG00000254369
HOXA@		
HOXA1		ENSG00000105991
HOXA2		ENSG00000105996
HOXA3		ENSG00000105997
HOXA4		ENSG00000197576
HOXA5		ENSG00000106004
HOXA6		ENSG00000106006
HOXA7		ENSG00000122592
HOXA9		ENSG00000078399
HOXA10		ENSG00000253293
HOXA10-AS	AW195063, BM549446	ENSG00000253187
HOXA11		ENSG00000005073
HOXA11-AS		ENSG00000240990
HOXA13		ENSG00000106031
HOXB-AS1	BF875734, BE676309, AI292043	ENSG00000230148
HOXB-AS2	DA447098, BF999536	ENSG00000239552
HOXB-AS3	BC010732	ENSG00000233101
HOXB-AS4	DB109357, AI940041	ENSG00000242207
HOXB@		
HOXB1		ENSG00000120094
HOXB2		ENSG00000173917
HOXB3		ENSG00000120093
HOXB4		ENSG00000182742
HOXB5		ENSG00000120075
HOXB6		ENSG00000108511
HOXB7		ENSG00000260027
HOXB8		ENSG00000120068
HOXB9		ENSG00000170689
HOXB13	U57052	ENSG00000159184
HOXC-AS1	BU619815, CA429707	ENSG00000250451
HOXC-AS2	AI935658, BF195843	ENSG00000250133
HOXC-AS3	BC035260	ENSG00000251151
HOXC@		
HOXC4		ENSG00000198353
HOXC5		ENSG00000172789
HOXC6		ENSG00000197757
HOXC8	X99680	
HOXC9		ENSG00000180806
HOXC10		ENSG00000180818
HOXC11		ENSG00000123388
HOXC12	AF328962	ENSG00000123407
HOXC13		ENSG00000123364
HOXC13-AS	CN364530	ENSG00000249641
HOXD-AS2	BC034000	ENSG00000237380
HOXD@		
HOXD1		ENSG00000128645
HOXD3		ENSG00000128652
HOXD4		ENSG00000170166
HOXD8		ENSG00000175879
HOXD9		ENSG00000128709
HOXD10		ENSG00000128710
HOXD11		ENSG00000128713
HOXD12		ENSG00000170178
HOXD13	AF005219	ENSG00000128714
HP		ENSG00000257017
HP1BP3	BC053327	ENSG00000127483
HPC1		
HPCA	BC001777	ENSG00000121905
HPCAL1		ENSG00000115756
HPCAL4	AB001105	ENSG00000116983
HPCX		
HPD	BC014790	ENSG00000158104
HPDL	BC007293	ENSG00000186603
HPE1		
HPF1	BC010367	ENSG00000056050
HPFH2		
HPGD		ENSG00000164120
HPGDS	D82073	ENSG00000163106
HPLH1		
HPN		ENSG00000105707
HPN-AS1		ENSG00000227392
HPP1		
HPR	BC160066	ENSG00000261701
HPRT1	M26434	ENSG00000165704
HPRT1P1		ENSG00000251644
HPRT1P2		ENSG00000250587
HPRT1P3		ENSG00000256752
HPS1	U79136	ENSG00000107521
HPS3	AY033141	ENSG00000163755
HPS4		ENSG00000100099
HPS5	AB023234	ENSG00000110756
HPS6	BC009258	ENSG00000166189
HPSE	AF144325	ENSG00000173083
HPSE2	AF282885	ENSG00000172987
HPT		
HPV6AI1	X77607	
HPV18I1		
HPV18I2	X88931, X88932	
HPX	J03048	ENSG00000110169
HPYR1	AF200341	ENSG00000253521
HR	AF039196	ENSG00000168453
HRAS	AJ437024	ENSG00000174775
HRC		ENSG00000130528
HRCT1		ENSG00000196196
HRES1	X16660	
HRG		ENSG00000113905
HRH1		ENSG00000196639
HRH2		ENSG00000113749
HRH3	AF140538	ENSG00000101180
HRH4	AF312230	ENSG00000134489
HRK	U76376	ENSG00000135116
HRNR	AB104446	ENSG00000197915
HS1BP3		ENSG00000118960
HS1BP3-IT1		ENSG00000231948
HS2ST1	AB007917	ENSG00000153936
HS3ST1	AF019386	ENSG00000002587
HS3ST2	AF105374	ENSG00000122254
HS3ST3A1	AF105376	ENSG00000153976
HS3ST3B1	AF105377	ENSG00000125430
HS3ST4	AF105378	ENSG00000182601
HS3ST5	AF503292	ENSG00000249853
HS3ST6		ENSG00000162040
HS6ST1	AB006179	ENSG00000136720
HS6ST1P1		ENSG00000187952
HS6ST2	AB067776	ENSG00000171004
HS6ST2-AS1		ENSG00000235849
HS6ST3	AF539426	ENSG00000185352
HSBP1	AF068754	
HSBP1L1		
HSBP1P1		ENSG00000258650
HSBP1P2		ENSG00000166530
HSCB	AY191719	ENSG00000100209
HSD3B1	S45679	ENSG00000203857
HSD3B2	BC038419	ENSG00000203859
HSD3B7	AF277719	ENSG00000099377
HSD3BP1		ENSG00000187481
HSD3BP2		ENSG00000203858
HSD3BP3		ENSG00000249798
HSD3BP4		ENSG00000203855
HSD3BP5		ENSG00000198857
HSD11B1	BC012593	ENSG00000117594
HSD11B1-AS1		ENSG00000227591
HSD11B1L	AY268353	
HSD11B2	U14631	ENSG00000176387
HSD17B1		
HSD17B1P1	U34879	ENSG00000108785
HSD17B2		ENSG00000086696
HSD17B3		ENSG00000130948
HSD17B3-AS1		ENSG00000232283
HSD17B4		ENSG00000133835
HSD17B6	AF016509	ENSG00000025423
HSD17B7	AF098786	ENSG00000132196
HSD17B7P1	AJ297815	ENSG00000232908
HSD17B7P2		ENSG00000099251
HSD17B8	D82061	ENSG00000204228
HSD17B10	U96132	ENSG00000072506
HSD17B11	AF126780	ENSG00000198189
HSD17B12	AF078850	ENSG00000149084
HSD17B13		ENSG00000170509
HSD17B14	AF126781	
HSDL1	AF237684	ENSG00000103160
HSDL2	AY093428	ENSG00000119471
HSF1	M64673	ENSG00000185122
HSF2	M65217	ENSG00000025156
HSF2BP	AB007131	ENSG00000160207
HSF4	D87673	ENSG00000102878
HSF5	BC033020	ENSG00000176160
HSFX1		ENSG00000171116
HSFX2		ENSG00000268738
HSFX3		ENSG00000283697
HSFX4		ENSG00000283463
HSFY1	AF332226	ENSG00000172468
HSFY1P1	AY026053	ENSG00000229027
HSFY2	AK058182	ENSG00000169953
HSFY3P		ENSG00000227289
HSFY4P		ENSG00000224482
HSFY5P		ENSG00000232475
HSFY6P		ENSG00000224169
HSFY7P		ENSG00000228571
HSFY8P		ENSG00000233156
HSH2D	AK027792	ENSG00000196684
HSP90AA1	M27024	ENSG00000080824
HSP90AA2P		ENSG00000224411
HSP90AA3P		
HSP90AA4P		ENSG00000205100
HSP90AA5P	AY956761	ENSG00000205955
HSP90AA6P	AY956762	ENSG00000181359
HSP90AB1	AF275719	ENSG00000096384
HSP90AB2P	AY956763	ENSG00000205940
HSP90AB3P	AY956764	ENSG00000183199
HSP90AB4P	AY956765	ENSG00000282100
HSP90AB5P	AY956766	
HSP90AB6P	AY956767	ENSG00000235137
HSP90AB7P		ENSG00000235838
HSP90B1	AY040226	ENSG00000166598
HSP90B2P	AY956768	ENSG00000259706
HSP90B3P	AY956769	ENSG00000203914
HSPA1A	BC002453	ENSG00000204389
HSPA1B		ENSG00000204388
HSPA1L	D85730	ENSG00000204390
HSPA2	L26336, BC001752	ENSG00000126803
HSPA4	AB023420	ENSG00000170606
HSPA4L	AB023421	ENSG00000164070
HSPA5		ENSG00000044574
HSPA6		ENSG00000173110
HSPA7		ENSG00000225217
HSPA8	Y00371	ENSG00000109971
HSPA8P1	M12119	ENSG00000234176
HSPA8P2		
HSPA8P3		ENSG00000234788
HSPA8P4		ENSG00000248610
HSPA8P5		ENSG00000256356
HSPA8P6		ENSG00000235864
HSPA8P7		ENSG00000224773
HSPA8P8		ENSG00000229091
HSPA8P9		ENSG00000241478
HSPA8P10		
HSPA8P11		ENSG00000248159
HSPA8P12		
HSPA8P13		ENSG00000253425
HSPA8P14		ENSG00000257539
HSPA8P15		ENSG00000219395
HSPA8P16		ENSG00000224059
HSPA8P17		ENSG00000228557
HSPA8P18		ENSG00000232953
HSPA8P19		ENSG00000251614
HSPA8P20		ENSG00000234564
HSPA9	L11066	ENSG00000113013
HSPA9P1		ENSG00000226666
HSPA9P2		
HSPA12A	AB007877	ENSG00000165868
HSPA12B	AK056712	ENSG00000132622
HSPA13		ENSG00000155304
HSPA14	AF112210	ENSG00000187522
HSPB1	X54079	ENSG00000106211
HSPB1P1		ENSG00000236060
HSPB1P2		ENSG00000230216
HSPB2	U75898	ENSG00000170276
HSPB2-C11orf52		ENSG00000254445
HSPB3	Y17782	ENSG00000169271
HSPB6	AJ278121	ENSG00000004776
HSPB7	AF155908	ENSG00000173641
HSPB8	AF191017	
HSPB9	AJ302068	ENSG00000260325
HSPB11	AF100747	ENSG00000081870
HSPBAP1	AF400663	ENSG00000169087
HSPBP1		ENSG00000133265
HSPD1	M34664	ENSG00000144381
HSPD1P1		ENSG00000213430
HSPD1P2	M34662	ENSG00000254543
HSPD1P3	M34661	ENSG00000255128
HSPD1P4		ENSG00000257576
HSPD1P5		ENSG00000249193
HSPD1P6		ENSG00000230067
HSPD1P7		ENSG00000215005
HSPD1P8		ENSG00000215357
HSPD1P9		ENSG00000228036
HSPD1P10		ENSG00000216990
HSPD1P11		ENSG00000251348
HSPD1P12		ENSG00000255964
HSPD1P13		
HSPD1P14		ENSG00000227000
HSPD1P15		ENSG00000249557
HSPD1P16		ENSG00000218792
HSPD1P17		
HSPD1P18		ENSG00000248351
HSPD1P19		
HSPD1P20		
HSPD1P21		ENSG00000229900
HSPD1P22		
HSPE1	AF109872	ENSG00000115541
HSPE1-MOB4		ENSG00000270757
HSPE1P1		ENSG00000234878
HSPE1P2		ENSG00000258645
HSPE1P3		ENSG00000259746
HSPE1P4		ENSG00000258153
HSPE1P5		ENSG00000261395
HSPE1P6		ENSG00000232917
HSPE1P7		ENSG00000270945
HSPE1P8		ENSG00000217897
HSPE1P9		ENSG00000232690
HSPE1P10		ENSG00000249768
HSPE1P11		ENSG00000187762
HSPE1P12		ENSG00000235930
HSPE1P13		ENSG00000225900
HSPE1P14		ENSG00000271612
HSPE1P15		
HSPE1P16		ENSG00000237140
HSPE1P17		
HSPE1P18		ENSG00000255163
HSPE1P19		ENSG00000271024
HSPE1P20		ENSG00000257021
HSPE1P21		ENSG00000238059
HSPE1P22		ENSG00000237306
HSPE1P23		ENSG00000250356
HSPE1P24		ENSG00000225158
HSPE1P25		ENSG00000232015
HSPE1P26		ENSG00000220867
HSPE1P27		ENSG00000235112
HSPE1P28		ENSG00000230081
HSPG2	M85289	ENSG00000142798
HSPH1	AB003333	ENSG00000120694
HTATIP2	AF039103	ENSG00000109854
HTATSF1	U76992	ENSG00000102241
HTATSF1P1		ENSG00000223457
HTATSF1P2		ENSG00000271361
HTC1		
HTC2		
HTD2		ENSG00000255154
HTL		
HTN1		ENSG00000126550
HTN3		ENSG00000205649
HTOR		
HTR1A	AF498978	ENSG00000178394
HTR1B	BC069065	ENSG00000135312
HTR1D	M89955	ENSG00000179546
HTR1DP1		ENSG00000275811
HTR1E		ENSG00000168830
HTR1F	L05597	ENSG00000179097
HTR2A	X57830	ENSG00000102468
HTR2A-AS1		ENSG00000224517
HTR2B		ENSG00000135914
HTR2C		ENSG00000147246
HTR3A	D49394	ENSG00000166736
HTR3B	AF080582	ENSG00000149305
HTR3C	AF459285	ENSG00000178084
HTR3C2P		ENSG00000233576
HTR3D	AY159812	ENSG00000186090
HTR3E	AY159813	ENSG00000186038
HTR3E-AS1		ENSG00000238020
HTR4	Y08756	ENSG00000164270
HTR5A		ENSG00000157219
HTR5A-AS1	BC031272, BC045795	ENSG00000220575
HTR5BP	AB065453	ENSG00000125631
HTR6	L41147	ENSG00000158748
HTR7	BC047526	ENSG00000148680
HTR7P1	U86813	ENSG00000183935
HTRA1	AF097709	ENSG00000166033
HTRA2		ENSG00000115317
HTRA3	AY040094	ENSG00000170801
HTRA4	AK075205	ENSG00000169495
HTT	L12392	ENSG00000197386
HTT-AS		ENSG00000251075
HULC		ENSG00000251164
HUNK	AJ271722	ENSG00000142149
HUNK-AS1	CD689785	ENSG00000237138
HUS1	Y16893	ENSG00000136273
HUS1B	AF508547	ENSG00000188996
HUWE1	AB071605	ENSG00000086758
HVBS7		
HVBS8	M23190	
HVCN1	BC007277	ENSG00000122986
HYAL1	U90094	ENSG00000114378
HYAL2	AJ000099	ENSG00000068001
HYAL3	AF040710	ENSG00000186792
HYAL4	AF009010	ENSG00000106302
HYAL6P	AF149304	ENSG00000228211
HYD2		
HYDIN	AK074472	ENSG00000157423
HYDIN2	AB058767	ENSG00000276975
HYI		ENSG00000178922
HYI-AS1		ENSG00000229348
HYKK	BC132753, BC144383, BM045979	ENSG00000188266
HYLS1	AK057477	ENSG00000198331
HYMAI	AF241534	ENSG00000283122
HYOU1	U65785	ENSG00000149428
HYPK	AF049613	ENSG00000242028
HYPM	AF049615	ENSG00000187516
IAH1	BC111025	ENSG00000134330
IAPP		ENSG00000121351
IARS	AB209234	ENSG00000196305
IARS2	AK022665	ENSG00000067704
IARS2P1		ENSG00000251563
IATPR		ENSG00000233387
IBA57	AK022796	ENSG00000181873
IBA57-DT	AK057440	ENSG00000203684
IBD2		
IBD3		
IBD4		
IBD5		
IBD6		
IBD7		
IBD8		
IBD9		
IBGC1		
IBSP		ENSG00000029559
IBTK	AF235049	ENSG00000005700
IBTKP1		
ICA1		ENSG00000003147
ICA1L	AB053317	ENSG00000163596
ICAM1		ENSG00000090339
ICAM2		ENSG00000108622
ICAM3		ENSG00000076662
ICAM4	X93093	ENSG00000105371
ICAM5	U72671	
ICE1		ENSG00000164151
ICE2	BC013684	ENSG00000128915
ICE2P1		ENSG00000248880
ICE2P2		ENSG00000242705
ICK	AB023153	ENSG00000112144
ICMT	AF064084	ENSG00000116237
ICOS	AB023135	ENSG00000163600
ICOSLG	AB014553	ENSG00000160223
ICR1		
ICR3		
ICR4		
ICR5		
ICS1		
ID1		ENSG00000125968
ID2		ENSG00000115738
ID2-AS1		ENSG00000235092
ID2B	M96843	
ID3	X69111	ENSG00000117318
ID4	U16153	ENSG00000172201
IDDM3		
IDDM4		
IDDM6		
IDDM7		
IDDM8		
IDDM9		
IDDM11		
IDDM13		
IDDM14		
IDDM15		
IDDM16		
IDDM17		
IDDM18		
IDE	M21188	ENSG00000119912
IDH1		ENSG00000138413
IDH1-AS1	AI492612, BE465811	ENSG00000231908
IDH2		ENSG00000182054
IDH2-DT		ENSG00000259685
IDH3A		ENSG00000166411
IDH3B		ENSG00000101365
IDH3G		ENSG00000067829
IDI1	BC006999	ENSG00000067064
IDI2	AF271725	ENSG00000148377
IDI2-AS1	AF220183	ENSG00000232656
IDNK	BC036421	ENSG00000148057
IDO1	M34455	ENSG00000131203
IDO2	AK128691	ENSG00000188676
IDS	M58342	ENSG00000010404
IDSP1	L36846	ENSG00000176289
IDUA	M74715	ENSG00000127415
IER2	M62831	ENSG00000160888
IER3	AF083421	ENSG00000137331
IER3-AS1		ENSG00000272273
IER3IP1	AF371963	ENSG00000134049
IER5	BC000128	ENSG00000162783
IER5L	BC013070	ENSG00000188483
IFFO1	AF124432	ENSG00000010295
IFFO2	AK024480, AL080251	ENSG00000169991
IFI6	BC015603	ENSG00000126709
IFI16	M63838	ENSG00000163565
IFI27	X67325	ENSG00000165949
IFI27L1	BC015423	ENSG00000165948
IFI27L2	AF208232	ENSG00000119632
IFI30	J03909	ENSG00000216490
IFI35	BC001356	ENSG00000068079
IFI44	D28915	ENSG00000137965
IFI44L	AB000115	ENSG00000137959
IFIH1	AF095844	ENSG00000115267
IFIT1	M24594	ENSG00000185745
IFIT1B		ENSG00000204010
IFIT1P1	AF196987	ENSG00000215515
IFIT2	M14660	ENSG00000119922
IFIT3	U52513	ENSG00000119917
IFIT5	U34605	ENSG00000152778
IFIT6P		ENSG00000224289
IFITM1	J04164	ENSG00000185885
IFITM2	X57351	ENSG00000185201
IFITM3	X57352	ENSG00000142089
IFITM4P		ENSG00000235821
IFITM5	AA463818, CR747200, DY654432	ENSG00000206013
IFITM8P	DQ031534	ENSG00000215096
IFITM9P		ENSG00000213275
IFITM10		ENSG00000244242
IFNA1		ENSG00000197919
IFNA2		ENSG00000188379
IFNA4		ENSG00000236637
IFNA5		ENSG00000147873
IFNA6		ENSG00000120235
IFNA7		ENSG00000214042
IFNA8		ENSG00000120242
IFNA10		ENSG00000186803
IFNA11P		ENSG00000231195
IFNA12P		ENSG00000235108
IFNA13		ENSG00000233816
IFNA14		ENSG00000228083
IFNA16		ENSG00000147885
IFNA17		ENSG00000234829
IFNA20P		ENSG00000226393
IFNA21		ENSG00000137080
IFNA22P	V00539	ENSG00000224416
IFNAR1		ENSG00000142166
IFNAR2		ENSG00000159110
IFNB1		ENSG00000171855
IFNE	AY190045	ENSG00000184995
IFNG		ENSG00000111537
IFNG-AS1	AK124066, BF510189	ENSG00000255733
IFNGR1		ENSG00000027697
IFNGR2		ENSG00000159128
IFNK	AF384048	ENSG00000147896
IFNL1	AY129150	ENSG00000182393
IFNL2	AY129148	ENSG00000183709
IFNL3	AY129149	ENSG00000197110
IFNL3P1		ENSG00000268510
IFNL4	JN806234	ENSG00000272395
IFNL4P1		ENSG00000272311
IFNLR1	AY129153	ENSG00000185436
IFNNP1	AL390882	ENSG00000230208
IFNR		
IFNW1		ENSG00000177047
IFNWP2		ENSG00000237691
IFNWP4		ENSG00000225027
IFNWP5		ENSG00000232138
IFNWP9		ENSG00000226597
IFNWP15		ENSG00000232281
IFNWP18	V00531	ENSG00000223684
IFNWP19		ENSG00000238271
